lat_index,lat,lon_index,lon
1358,38.85991429600001,634,46.164106480499996
1359,38.932685672,634,46.164106480499996
1359,38.932685672,635,46.236863149499996
1359,38.932685672,636,46.309619818499996
1359,38.932685672,637,46.3823764875
1359,38.932685672,638,46.4551331565
1360,39.005457048000004,634,46.164106480499996
1360,39.005457048000004,635,46.236863149499996
1360,39.005457048000004,636,46.309619818499996
1360,39.005457048000004,637,46.3823764875
1360,39.005457048000004,638,46.4551331565
1360,39.005457048000004,639,46.5278898255
1361,39.078228423999995,633,46.091349811499995
1361,39.078228423999995,634,46.164106480499996
1361,39.078228423999995,635,46.236863149499996
1361,39.078228423999995,636,46.309619818499996
1361,39.078228423999995,637,46.3823764875
1361,39.078228423999995,638,46.4551331565
1361,39.078228423999995,639,46.5278898255
1362,39.1509998,632,46.018593142499995
1362,39.1509998,633,46.091349811499995
1362,39.1509998,634,46.164106480499996
1362,39.1509998,635,46.236863149499996
1362,39.1509998,636,46.309619818499996
1362,39.1509998,637,46.3823764875
1362,39.1509998,638,46.4551331565
1363,39.22377117600001,632,46.018593142499995
1363,39.22377117600001,633,46.091349811499995
1363,39.22377117600001,634,46.164106480499996
1363,39.22377117600001,635,46.236863149499996
1363,39.22377117600001,636,46.309619818499996
1363,39.22377117600001,637,46.3823764875
1363,39.22377117600001,638,46.4551331565
1363,39.22377117600001,639,46.5278898255
1363,39.22377117600001,640,46.6006464945
1364,39.296542552,632,46.018593142499995
1364,39.296542552,633,46.091349811499995
1364,39.296542552,634,46.164106480499996
1364,39.296542552,635,46.236863149499996
1364,39.296542552,636,46.309619818499996
1364,39.296542552,637,46.3823764875
1364,39.296542552,638,46.4551331565
1365,39.369313928000004,629,45.8003231355
1365,39.369313928000004,630,45.873079804499994
1365,39.369313928000004,631,45.945836473499995
1365,39.369313928000004,632,46.018593142499995
1365,39.369313928000004,633,46.091349811499995
1365,39.369313928000004,634,46.164106480499996
1365,39.369313928000004,635,46.236863149499996
1365,39.369313928000004,636,46.309619818499996
1365,39.369313928000004,637,46.3823764875
1366,39.442085303999995,630,45.873079804499994
1366,39.442085303999995,631,45.945836473499995
1366,39.442085303999995,632,46.018593142499995
1366,39.442085303999995,633,46.091349811499995
1366,39.442085303999995,634,46.164106480499996
1366,39.442085303999995,635,46.236863149499996
1366,39.442085303999995,636,46.309619818499996
1366,39.442085303999995,637,46.3823764875
1367,39.51485668,630,45.873079804499994
1367,39.51485668,631,45.945836473499995
1367,39.51485668,632,46.018593142499995
1367,39.51485668,633,46.091349811499995
1367,39.51485668,634,46.164106480499996
1367,39.51485668,635,46.236863149499996
1367,39.51485668,636,46.309619818499996
1367,39.51485668,637,46.3823764875
1367,39.51485668,638,46.4551331565
1368,39.58762805600001,621,45.2182697835
1368,39.58762805600001,623,45.3637831215
1368,39.58762805600001,624,45.4365397905
1368,39.58762805600001,625,45.5092964595
1368,39.58762805600001,626,45.5820531285
1368,39.58762805600001,627,45.6548097975
1368,39.58762805600001,629,45.8003231355
1368,39.58762805600001,630,45.873079804499994
1368,39.58762805600001,631,45.945836473499995
1368,39.58762805600001,632,46.018593142499995
1368,39.58762805600001,633,46.091349811499995
1368,39.58762805600001,634,46.164106480499996
1368,39.58762805600001,635,46.236863149499996
1368,39.58762805600001,636,46.309619818499996
1368,39.58762805600001,637,46.3823764875
1369,39.660399432,621,45.2182697835
1369,39.660399432,622,45.2910264525
1369,39.660399432,623,45.3637831215
1369,39.660399432,624,45.4365397905
1369,39.660399432,625,45.5092964595
1369,39.660399432,626,45.5820531285
1369,39.660399432,627,45.6548097975
1369,39.660399432,628,45.7275664665
1369,39.660399432,629,45.8003231355
1369,39.660399432,630,45.873079804499994
1369,39.660399432,631,45.945836473499995
1369,39.660399432,632,46.018593142499995
1369,39.660399432,633,46.091349811499995
1370,39.733170808000004,615,44.7817297695
1370,39.733170808000004,617,44.9272431075
1370,39.733170808000004,620,45.1455131145
1370,39.733170808000004,621,45.2182697835
1370,39.733170808000004,622,45.2910264525
1370,39.733170808000004,623,45.3637831215
1370,39.733170808000004,624,45.4365397905
1370,39.733170808000004,625,45.5092964595
1370,39.733170808000004,626,45.5820531285
1370,39.733170808000004,627,45.6548097975
1370,39.733170808000004,628,45.7275664665
1370,39.733170808000004,629,45.8003231355
1370,39.733170808000004,630,45.873079804499994
1370,39.733170808000004,631,45.945836473499995
1370,39.733170808000004,632,46.018593142499995
1371,39.805942183999996,614,44.708973100499996
1371,39.805942183999996,615,44.7817297695
1371,39.805942183999996,616,44.8544864385
1371,39.805942183999996,617,44.9272431075
1371,39.805942183999996,618,44.9999997765
1371,39.805942183999996,619,45.0727564455
1371,39.805942183999996,620,45.1455131145
1371,39.805942183999996,621,45.2182697835
1371,39.805942183999996,622,45.2910264525
1371,39.805942183999996,623,45.3637831215
1371,39.805942183999996,624,45.4365397905
1371,39.805942183999996,625,45.5092964595
1371,39.805942183999996,626,45.5820531285
1371,39.805942183999996,627,45.6548097975
1371,39.805942183999996,628,45.7275664665
1371,39.805942183999996,629,45.8003231355
1371,39.805942183999996,630,45.873079804499994
1372,39.87871356,612,44.563459762499996
1372,39.87871356,613,44.636216431499996
1372,39.87871356,614,44.708973100499996
1372,39.87871356,615,44.7817297695
1372,39.87871356,616,44.8544864385
1372,39.87871356,617,44.9272431075
1372,39.87871356,618,44.9999997765
1372,39.87871356,619,45.0727564455
1372,39.87871356,620,45.1455131145
1372,39.87871356,621,45.2182697835
1372,39.87871356,622,45.2910264525
1372,39.87871356,623,45.3637831215
1372,39.87871356,624,45.4365397905
1372,39.87871356,625,45.5092964595
1372,39.87871356,626,45.5820531285
1372,39.87871356,627,45.6548097975
1372,39.87871356,628,45.7275664665
1372,39.87871356,629,45.8003231355
1373,39.95148493600001,612,44.563459762499996
1373,39.95148493600001,613,44.636216431499996
1373,39.95148493600001,614,44.708973100499996
1373,39.95148493600001,615,44.7817297695
1373,39.95148493600001,616,44.8544864385
1373,39.95148493600001,617,44.9272431075
1373,39.95148493600001,618,44.9999997765
1373,39.95148493600001,619,45.0727564455
1373,39.95148493600001,620,45.1455131145
1373,39.95148493600001,621,45.2182697835
1373,39.95148493600001,622,45.2910264525
1373,39.95148493600001,623,45.3637831215
1373,39.95148493600001,624,45.4365397905
1373,39.95148493600001,625,45.5092964595
1373,39.95148493600001,626,45.5820531285
1373,39.95148493600001,627,45.6548097975
1374,40.024256312,603,43.9086497415
1374,40.024256312,610,44.417946424499995
1374,40.024256312,611,44.490703093499995
1374,40.024256312,612,44.563459762499996
